C:\Users\milan\Desktop\Data\IMG\center_2021_06_13_00_31_22_135.jpg, C:\Users\milan\Desktop\Data\IMG\left_2021_06_13_00_31_22_135.jpg, C:\Users\milan\Desktop\Data\IMG\right_2021_06_13_00_31_22_135.jpg,0,0,0,7.89E-05
C:\Users\milan\Desktop\Data\IMG\center_2021_06_13_00_31_22_241.jpg, C:\Users\milan\Desktop\Data\IMG\left_2021_06_13_00_31_22_241.jpg, C:\Users\milan\Desktop\Data\IMG\right_2021_06_13_00_31_22_241.jpg,0,0,0,7.84E-05
C:\Users\milan\Desktop\Data\IMG\center_2021_06_13_00_31_22_345.jpg, C:\Users\milan\Desktop\Data\IMG\left_2021_06_13_00_31_22_345.jpg, C:\Users\milan\Desktop\Data\IMG\right_2021_06_13_00_31_22_345.jpg,0,0,0,8.20E-05
C:\Users\milan\Desktop\Data\IMG\center_2021_06_13_00_31_22_445.jpg, C:\Users\milan\Desktop\Data\IMG\left_2021_06_13_00_31_22_445.jpg, C:\Users\milan\Desktop\Data\IMG\right_2021_06_13_00_31_22_445.jpg,0,0,0,7.80E-05
C:\Users\milan\Desktop\Data\IMG\center_2021_06_13_00_31_22_557.jpg, C:\Users\milan\Desktop\Data\IMG\left_2021_06_13_00_31_22_557.jpg, C:\Users\milan\Desktop\Data\IMG\right_2021_06_13_00_31_22_557.jpg,0,0,0,8.24E-05
C:\Users\milan\Desktop\Data\IMG\center_2021_06_13_00_31_22_670.jpg, C:\Users\milan\Desktop\Data\IMG\left_2021_06_13_00_31_22_670.jpg, C:\Users\milan\Desktop\Data\IMG\right_2021_06_13_00_31_22_670.jpg,0,0,0,7.85E-05
C:\Users\milan\Desktop\Data\IMG\center_2021_06_13_00_31_22_777.jpg, C:\Users\milan\Desktop\Data\IMG\left_2021_06_13_00_31_22_777.jpg, C:\Users\milan\Desktop\Data\IMG\right_2021_06_13_00_31_22_777.jpg,0,0.274221,0,0.3149003
C:\Users\milan\Desktop\Data\IMG\center_2021_06_13_00_31_22_881.jpg, C:\Users\milan\Desktop\Data\IMG\left_2021_06_13_00_31_22_881.jpg, C:\Users\milan\Desktop\Data\IMG\right_2021_06_13_00_31_22_881.jpg,-0.0403095,0.6335583,0,1.053142
C:\Users\milan\Desktop\Data\IMG\center_2021_06_13_00_31_22_984.jpg, C:\Users\milan\Desktop\Data\IMG\left_2021_06_13_00_31_22_984.jpg, C:\Users\milan\Desktop\Data\IMG\right_2021_06_13_00_31_22_984.jpg,-0.3501456,0.9433944,0,2.040463
C:\Users\milan\Desktop\Data\IMG\center_2021_06_13_00_31_23_087.jpg, C:\Users\milan\Desktop\Data\IMG\left_2021_06_13_00_31_23_087.jpg, C:\Users\milan\Desktop\Data\IMG\right_2021_06_13_00_31_23_087.jpg,-0.578001,1,0,3.177027
C:\Users\milan\Desktop\Data\IMG\center_2021_06_13_00_31_23_200.jpg, C:\Users\milan\Desktop\Data\IMG\left_2021_06_13_00_31_23_200.jpg, C:\Users\milan\Desktop\Data\IMG\right_2021_06_13_00_31_23_200.jpg,-0.2831112,1,0,4.352972
C:\Users\milan\Desktop\Data\IMG\center_2021_06_13_00_31_23_309.jpg, C:\Users\milan\Desktop\Data\IMG\left_2021_06_13_00_31_23_309.jpg, C:\Users\milan\Desktop\Data\IMG\right_2021_06_13_00_31_23_309.jpg,0,1,0,5.74048
C:\Users\milan\Desktop\Data\IMG\center_2021_06_13_00_31_23_417.jpg, C:\Users\milan\Desktop\Data\IMG\left_2021_06_13_00_31_23_417.jpg, C:\Users\milan\Desktop\Data\IMG\right_2021_06_13_00_31_23_417.jpg,0,1,0,6.889126
C:\Users\milan\Desktop\Data\IMG\center_2021_06_13_00_31_23_525.jpg, C:\Users\milan\Desktop\Data\IMG\left_2021_06_13_00_31_23_525.jpg, C:\Users\milan\Desktop\Data\IMG\right_2021_06_13_00_31_23_525.jpg,0,1,0,8.253087
C:\Users\milan\Desktop\Data\IMG\center_2021_06_13_00_31_23_634.jpg, C:\Users\milan\Desktop\Data\IMG\left_2021_06_13_00_31_23_634.jpg, C:\Users\milan\Desktop\Data\IMG\right_2021_06_13_00_31_23_634.jpg,-0.0428331,1,0,9.377198
C:\Users\milan\Desktop\Data\IMG\center_2021_06_13_00_31_23_741.jpg, C:\Users\milan\Desktop\Data\IMG\left_2021_06_13_00_31_23_741.jpg, C:\Users\milan\Desktop\Data\IMG\right_2021_06_13_00_31_23_741.jpg,-0.4009758,1,0,10.6535
C:\Users\milan\Desktop\Data\IMG\center_2021_06_13_00_31_23_847.jpg, C:\Users\milan\Desktop\Data\IMG\left_2021_06_13_00_31_23_847.jpg, C:\Users\milan\Desktop\Data\IMG\right_2021_06_13_00_31_23_847.jpg,-0.08237584,1,0,11.5914
